file,matched,recall,precision,f1
d112h,1,9.09,5.56,6.9
d113h,2,14.29,18.18,16.0
d114h,1,5.56,2.86,3.77
d115i,2,9.52,8.0,8.7
d116i,0,0.0,0.0,0.0
d117i,5,33.33,20.0,25.0
d118i,0,0.0,0.0,0.0
d119i,1,10.0,5.0,6.67
d120i,2,33.33,5.88,10.0
