file,labeled,extracted,matched,recall,precision,f1
d112h,11,23,2,18.18,8.7,11.76
d113h,14,15,4,28.57,26.67,27.59
d114h,18,36,4,22.22,11.11,14.81
d115i,21,26,2,9.52,7.69,8.51
d116i,16,33,2,12.5,6.06,8.16
d117i,15,28,5,33.33,17.86,23.26
d118i,12,37,4,33.33,10.81,16.33
d119i,10,22,6,60.0,27.27,37.5
d120i,6,38,2,33.33,5.26,9.09
