file,labeled,extracted,matched,recall,precision,f1
d112h,11,95,7,63.64,7.37,13.21
d113h,14,62,10,71.43,16.13,26.32
d114h,18,147,11,61.11,7.48,13.33
d115i,21,104,10,47.62,9.62,16.0
d116i,16,134,10,62.5,7.46,13.33
d117i,15,112,13,86.67,11.61,20.47
d118i,12,150,8,66.67,5.33,9.88
d119i,10,90,9,90.0,10.0,18.0
d120i,6,154,5,83.33,3.25,6.25
