file,labeled,extracted,matched,recall,precision,f1
d112h,11,71,3,27.27,4.23,7.32
d113h,14,47,10,71.43,21.28,32.79
d114h,18,110,9,50.0,8.18,14.06
d115i,21,78,5,23.81,6.41,10.1
d116i,16,101,5,31.25,4.95,8.55
d117i,15,84,10,66.67,11.9,20.2
d118i,12,113,7,58.33,6.19,11.2
d119i,10,68,9,90.0,13.24,23.08
d120i,6,116,5,83.33,4.31,8.2
