file,labeled,extracted,matched,recall,precision,f1
d112h,11,23,2,18.18,8.7,11.76
d113h,14,15,1,7.14,6.67,6.9
d114h,18,36,2,11.11,5.56,7.41
d115i,21,26,3,14.29,11.54,12.77
d116i,16,33,1,6.25,3.03,4.08
d117i,15,28,6,40.0,21.43,27.91
d118i,12,37,3,25.0,8.11,12.24
d119i,10,22,4,40.0,18.18,25.0
d120i,6,38,2,33.33,5.26,9.09
