file,labeled,extracted,matched,recall,precision,f1
d112h,11,71,5,45.45,7.04,12.2
d113h,14,47,9,64.29,19.15,29.51
d114h,18,110,11,61.11,10.0,17.19
d115i,21,78,8,38.1,10.26,16.16
d116i,16,101,7,43.75,6.93,11.97
d117i,15,84,12,80.0,14.29,24.24
d118i,12,113,6,50.0,5.31,9.6
d119i,10,68,7,70.0,10.29,17.95
d120i,6,116,4,66.67,3.45,6.56
