file,labeled,extracted,matched,recall,precision,f1
d112h,11,47,1,9.09,2.13,3.45
d113h,14,31,3,21.43,9.68,13.33
d114h,18,73,2,11.11,2.74,4.4
d115i,21,52,8,38.1,15.38,21.92
d116i,16,67,4,25.0,5.97,9.64
d117i,15,56,6,40.0,10.71,16.9
d118i,12,75,2,16.67,2.67,4.6
d119i,10,45,1,10.0,2.22,3.64
d120i,6,77,3,50.0,3.9,7.23
