file,labeled,extracted,matched,recall,precision,f1
d112h,11,36,2,18.18,5.56,8.51
d113h,14,23,3,21.43,13.04,16.22
d114h,18,71,2,11.11,2.82,4.49
d115i,21,51,6,28.57,11.76,16.67
d116i,16,65,3,18.75,4.62,7.41
d117i,15,50,7,46.67,14.0,21.54
d118i,12,66,2,16.67,3.03,5.13
d119i,10,41,1,10.0,2.44,3.92
d120i,6,69,3,50.0,4.35,8.0
