file,labeled,extracted,matched,recall,precision,f1
d112h,11,47,2,18.18,4.26,6.9
d113h,14,31,6,42.86,19.35,26.67
d114h,18,73,7,38.89,9.59,15.38
d115i,21,52,7,33.33,13.46,19.18
d116i,16,67,4,25.0,5.97,9.64
d117i,15,56,8,53.33,14.29,22.54
d118i,12,75,5,41.67,6.67,11.49
d119i,10,45,6,60.0,13.33,21.82
d120i,6,77,3,50.0,3.9,7.23
