file,labeled,extracted,matched,recall,precision,f1
d112h,11,71,2,18.18,2.82,4.88
d113h,14,47,4,28.57,8.51,13.11
d114h,18,110,6,33.33,5.45,9.38
d115i,21,78,8,38.1,10.26,16.16
d116i,16,101,4,25.0,3.96,6.84
d117i,15,84,7,46.67,8.33,14.14
d118i,12,113,2,16.67,1.77,3.2
d119i,10,68,3,30.0,4.41,7.69
d120i,6,116,4,66.67,3.45,6.56
