file,labeled,extracted,matched,recall,precision,f1
d112h,11,23,1,9.09,4.35,5.88
d113h,14,15,2,14.29,13.33,13.79
d114h,18,36,1,5.56,2.78,3.7
d115i,21,26,2,9.52,7.69,8.51
d116i,16,33,0,0.0,0.0,0.0
d117i,15,28,4,26.67,14.29,18.6
d118i,12,37,0,0.0,0.0,0.0
d119i,10,22,1,10.0,4.55,6.25
d120i,6,38,2,33.33,5.26,9.09
